Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Alabama,NorthCarolina
41,Parts Salespersons,3,1.88,1.62,2.75,3.25,2.88,2.75,2.62,4,4,3,1.75,3,2,2.62,2.75,3.75,3.38,1,2,2,3,2,1,2,36150,38960
41,Real Estate Brokers,3.62,1,1,2.75,3.25,1.12,2.88,2,4,4,2.12,1.12,2.38,1,1,2,4,3.5,1,2,3,3,2,1,1,76640,81530
41,Real Estate Sales Agents,3.25,1.38,1.25,3,3.12,1.5,3,2.62,4,4,2.5,1.75,2.62,1.38,1.38,2.75,3.88,3.38,2,2,3,3,2,2,1,55450,61480
41,Retail Salespersons,2.88,1.88,1.5,2.88,2.88,2,2.62,2.75,3.88,4,2.5,1.5,2.88,2,1.88,2.5,3,3,1,2,3,3,2,1,1,32840,33700
41,Sales Engineers,4,1,1,3.62,4,1.88,3.12,3,4,4.12,2.75,1,2.88,1,1,2.88,4,3.88,2,2,3,3,2,2,1,100230,116830
41,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",3.12,1.38,1.38,3.12,3,2.12,2.38,2.25,3.88,4,2.12,1.62,2.38,1.5,1.38,2.12,3.75,3.62,2,2,3,3,2,1,1,73110,79180
41,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3.5,1,1,3.12,3,1,2.88,3,4,4.5,2.5,1,2.75,1,1,2.5,3.88,3.75,2,2,3,3,2,2,1, ,121330
41,"Securities, Commodities, and Financial Services Sales Agents",3.75,1,1,3.25,3.38,1.12,3.25,2.5,4.12,3.88,2.75,1.12,2.88,1,1,2,3.62,3.5,2,2,3,3,2,2,1,77310,96780
41,Solar Sales Representatives and Assessors,3.38,1.12,1,3,3.12,1.5,2.88,2.38,4,4,2.62,1,2.88,1.25,1.25,2.88,3.62,3.38,2,2,3,3,2,1,1, ,121330
41,Telemarketers,2.75,1,1,2.25,2.62,1.5,1.62,1.88,4,4,1.5,1,3.12,1,1,1.62,3.12,2.75,1,1,3,3,2,1,1,31690,37500
41,Travel Agents,3.12,1.38,1,3,3,1.75,2.88,2.88,4,3.88,2.12,1,3.12,1,1,2.25,3.88,3.12,1,2,3,3,2,1,1,51620,55030
